#,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1656,09/11/2016,"1,750.00","1,750.00","1,676.00","1,676.00",-5.79,823,"14,19,694.00"
1655,10/11/2016,"1,709.00","1,720.00","1,685.00","1,700.00",1.43,253,"4,28,618.00"
1654,13/11/2016,"1,670.00","1,670.00","1,650.00","1,665.00",-2.06,299,"4,97,120.00"
1653,14/11/2016,"1,656.00","1,670.00","1,650.00","1,670.00",0.3,691,"11,44,715.00"
1652,15/11/2016,"1,700.00","1,700.00","1,638.00","1,638.00",-1.92,428,"7,19,940.00"
1651,16/11/2016,"1,638.00","1,638.00","1,606.00","1,610.00",-1.71,402,"6,51,576.00"
1650,17/11/2016,"1,580.00","1,599.00","1,580.00","1,580.00",-1.86,506,"8,02,980.00"
1649,20/11/2016,"1,549.00","1,549.00","1,530.00","1,530.00",-3.16,47,"72,119.00"
1648,21/11/2016,"1,500.00","1,500.00","1,377.00","1,377.00",-10,"1,006","13,96,372.00"
1647,22/11/2016,"1,350.00","1,350.00","1,240.00","1,241.00",-9.88,"3,737","46,94,374.00"
1646,23/11/2016,"1,217.00","1,217.00","1,117.00","1,117.00",-9.99,"1,838","21,26,304.00"
1645,24/11/2016,"1,120.00","1,164.00","1,040.00","1,080.00",-3.31,"1,369","14,85,530.00"
1644,27/11/2016,"1,060.00","1,060.00",972,972,-10,601,"6,14,875.00"
1643,28/11/2016,953,985,951,985,1.34,385,"3,75,121.00"
1642,29/11/2016,"1,004.00","1,071.00","1,000.00","1,071.00",8.73,"1,040","10,59,847.00"
1641,01/12/2016,"1,201.00","1,295.00","1,201.00","1,295.00",9.93,"1,361","16,66,307.00"
1640,04/12/2016,"1,320.00","1,346.00","1,221.00","1,250.00",-3.47,"3,619","45,57,610.00"
1639,05/12/2016,"1,226.00","1,245.00","1,160.00","1,175.00",-6,539,"6,43,212.00"
1638,06/12/2016,"1,152.00","1,175.00","1,150.00","1,175.00",0,"1,115","12,94,522.00"
1637,07/12/2016,"1,198.00","1,244.00","1,198.00","1,240.00",5.87,683,"8,27,910.00"
1636,08/12/2016,"1,268.00","1,268.00","1,230.00","1,255.00",0.88,595,"7,37,038.00"
1635,11/12/2016,"1,280.00","1,280.00","1,211.00","1,211.00",-3.51,441,"5,46,299.00"
1634,12/12/2016,"1,190.00","1,190.00","1,180.00","1,180.00",-2.56,81,"96,280.00"
1633,14/12/2016,"1,181.00","1,200.00","1,176.00","1,180.00",0,329,"3,89,382.00"
1632,15/12/2016,"1,165.00","1,165.00","1,160.00","1,161.00",-1.69,770,"8,93,800.00"
1631,18/12/2016,"1,183.00","1,230.00","1,183.00","1,230.00",6.03,60,"72,730.00"
1630,19/12/2016,"1,254.00","1,254.00","1,230.00","1,231.00",0.08,86,"1,06,151.00"
1629,20/12/2016,"1,210.00","1,220.00","1,200.00","1,215.00",-1.3,572,"6,91,585.00"
1628,21/12/2016,"1,200.00","1,220.00","1,180.00","1,220.00",0.41,664,"8,03,156.00"
1627,22/12/2016,"1,240.00","1,244.00","1,230.00","1,230.00",0.82,124,"1,53,660.00"
1626,26/12/2016,"1,230.00","1,230.00","1,206.00","1,206.00",-1.95,121,"1,46,457.00"
1625,28/12/2016,"1,200.00","1,200.00","1,200.00","1,200.00",-0.5,20,"24,000.00"
1624,01/01/2017,"1,205.00","1,223.00","1,205.00","1,212.00",0.83,306,"3,70,920.00"
1623,02/01/2017,"1,234.00","1,233.00","1,232.00","1,232.00",1.82,160,"1,97,130.00"
1622,03/01/2017,"1,210.00","1,210.00","1,180.00","1,184.00",-4.06,"1,197","14,22,544.00"
1621,04/01/2017,"1,182.00","1,182.00","1,141.00","1,141.00",-3.47,"1,266","14,58,942.00"
1620,05/01/2017,"1,163.00","1,163.00","1,141.00","1,150.00",0.79,890,"10,19,840.00"
1619,08/01/2017,"1,160.00","1,160.00","1,137.00","1,140.00",-0.87,153,"1,74,815.00"
1618,09/01/2017,"1,160.00","1,160.00","1,150.00","1,160.00",1.75,271,"3,13,750.00"
1617,10/01/2017,"1,170.00","1,170.00","1,165.00","1,170.00",0.86,"1,720","20,07,900.00"
1616,12/01/2017,"1,145.00","1,145.00","1,140.00","1,140.00",-2.15,511,"5,83,590.00"
1615,15/01/2017,"1,145.00","1,145.00","1,145.00","1,145.00",0.44,200,"2,29,000.00"
1614,18/01/2017,"1,123.00","1,123.00","1,087.00","1,087.00",-5.06,67,"73,390.00"
1613,19/01/2017,"1,108.00","1,108.00","1,100.00","1,100.00",1.2,26,"28,688.00"
1612,23/01/2017,"1,115.00","1,115.00","1,100.00","1,100.00",0,111,"1,22,265.00"
1611,24/01/2017,"1,080.00","1,100.00","1,078.00","1,080.00",-2,181,"1,95,660.00"
1610,25/01/2017,"1,060.00","1,081.00","1,041.00","1,081.00",0.28,303,"3,22,939.00"
1609,26/01/2017,"1,068.00","1,078.00","1,045.00","1,068.00",-1.2,509,"5,41,515.00"
1608,30/01/2017,"1,047.00","1,047.00","1,035.00","1,035.00",-3.09,42,"43,770.00"
1607,31/01/2017,"1,020.00","1,030.00",995,"1,010.00",-2.41,299,"3,00,560.00"
1606,02/02/2017,"1,070.00","1,090.00","1,049.00","1,049.00",-0.1,572,"6,09,040.00"
1605,05/02/2017,"1,030.00","1,030.00",971,980,-6.58,"4,409","43,51,239.00"
1604,06/02/2017,962,980,961,965,-1.53,811,"7,85,471.00"
1603,07/02/2017,965,965,925,938,-2.8,"1,262","11,90,785.00"
1602,08/02/2017,920,920,882,882,-5.97,"1,196","10,75,786.00"
1601,09/02/2017,882,890,865,865,-1.93,"1,243","10,87,704.00"
1600,12/02/2017,850,850,816,816,-5.66,920,"7,67,490.00"
1599,13/02/2017,816,816,750,805,-1.35,"1,198","9,28,447.00"
1598,15/02/2017,816,852,800,852,6.5,"2,014","16,52,778.00"
1597,16/02/2017,850,901,850,900,5.63,"1,194","11,44,714.00"
1596,19/02/2017,920,988,885,988,7.63,"2,509","23,41,348.00"
1595,20/02/2017,"1,007.00","1,086.00",960,960,-2.83,"4,228","43,83,614.00"
1594,21/02/2017,979,"1,033.00",979,980,2.08,"1,886","18,85,900.00"
1593,22/02/2017,965,999,955,955,-2.55,"1,079","10,45,691.00"
1592,23/02/2017,936,952,935,952,-0.31,974,"9,14,234.00"
1591,26/02/2017,933,933,915,916,-3.89,195,"1,79,425.00"
1590,28/02/2017,920,920,895,895,-2.19,615,"5,56,075.00"
1589,01/03/2017,912,930,905,923,3.13,362,"3,30,572.00"
1588,02/03/2017,941,960,941,954,3.36,700,"6,68,190.00"
1587,07/03/2017,960,960,944,944,-1.67,280,"2,66,480.00"
1586,09/03/2017,962,970,962,965,2.22,522,"5,03,896.00"
1585,13/03/2017,980,980,980,980,1.55,764,"7,48,720.00"
1584,14/03/2017,970,980,970,980,-1.02,282,"2,73,740.00"
1583,15/03/2017,975,977,965,965,-0.51,534,"5,19,870.00"
1582,16/03/2017,965,965,950,950,-1.55,164,"1,57,325.00"
1581,19/03/2017,950,984,960,984,3.58,363,"3,53,754.00"
1580,20/03/2017,984,"1,040.00",980,"1,040.00",5.69,"2,037","20,56,023.00"
1579,21/03/2017,"1,060.00","1,144.00","1,060.00","1,144.00",10,"4,764","52,55,354.00"
1578,22/03/2017,"1,166.00","1,258.00","1,150.00","1,256.00",9.79,"6,421","79,01,313.00"
1577,26/03/2017,"1,244.00","1,342.00","1,244.00","1,342.00",10,"7,227","94,99,552.00"
1576,28/03/2017,"1,342.00","1,476.00","1,368.00","1,476.00",9.99,"1,353","19,45,408.00"
1574,30/03/2017,"1,421.00","1,440.00","1,380.00","1,430.00",0.63,"3,108","43,75,986.00"
1575,30/03/2017,"1,476.00","1,550.00","1,420.00","1,421.00",-3.73,"6,416","43,75,986.00"
1573,02/04/2017,"1,458.00","1,573.00","1,455.00","1,573.00",10,"1,679","26,04,613.00"
1572,03/04/2017,"1,604.00","1,636.00","1,500.00","1,501.00",-4.58,"3,780","60,13,580.00"
1571,06/04/2017,"1,540.00","1,550.00","1,487.00","1,520.00",-1.3,"1,646","25,10,682.00"
1570,09/04/2017,"1,490.00","1,505.00","1,490.00","1,496.00",-1.58,"2,575","38,52,762.00"
1569,10/04/2017,"1,500.00","1,645.00","1,500.00","1,620.00",8.29,"9,412","1,51,11,044.00"
1568,12/04/2017,"1,800.00","1,955.00","1,800.00","1,860.00",4.38,"9,713","1,84,51,927.00"
1567,16/04/2017,"1,766.00","1,885.00","1,720.00","1,720.00",-4.5,"3,142","55,81,078.00"
1566,18/04/2017,"1,686.00","1,715.00","1,615.00","1,700.00",-1.16,"5,659","94,36,798.00"
1565,19/04/2017,"1,700.00","1,870.00","1,705.00","1,870.00",10,"4,029","72,15,881.00"
1564,20/04/2017,"1,860.00","1,925.00","1,800.00","1,850.00",-1.07,"7,286","1,36,92,941.00"
1562,24/04/2017,"1,887.00","1,887.00","1,813.00","1,845.00",-1.51,"4,405","80,90,347.00"
1563,24/04/2017,"1,850.00","1,905.00","1,825.00","1,850.00",0,"3,273","80,90,347.00"
1561,25/04/2017,"1,845.00","1,960.00","1,844.00","1,875.00",2.91,"4,504","84,26,840.00"
1560,26/04/2017,"1,875.00","1,919.00","1,870.00","1,900.00",1.33,"4,033","76,66,413.00"
1559,27/04/2017,"1,870.00","1,910.00","1,825.00","1,880.00",-1.05,"3,973","74,33,230.00"
1558,30/04/2017,"1,843.00","1,915.00","1,807.00","1,910.00",1.6,"2,880","53,84,871.00"
1557,02/05/2017,"1,900.00","1,910.00","1,850.00","1,900.00",-0.52,"3,919","74,16,853.00"
1556,03/05/2017,"1,925.00","1,925.00","1,890.00","1,905.00",0.26,"3,012","57,35,374.00"
1555,04/05/2017,"1,900.00","1,900.00","1,870.00","1,880.00",-1.31,"2,050","38,79,243.00"
1553,08/05/2017,"1,862.00","1,905.00","1,840.00","1,865.00",-1.84,"1,388","26,11,149.00"
1554,08/05/2017,"1,880.00","1,900.00","1,830.00","1,900.00",1.06,"1,931","26,11,149.00"
1552,09/05/2017,"1,865.00","1,901.00","1,850.00","1,901.00",1.93,"1,874","35,25,660.00"
1551,11/05/2017,"1,880.00","1,885.00","1,865.00","1,880.00",-1.1,907,"17,02,230.00"
1550,15/05/2017,"1,870.00","1,871.00","1,870.00","1,870.00",-0.53,570,"10,66,050.00"
1549,16/05/2017,"1,850.00","1,899.00","1,850.00","1,852.00",-0.96,738,"13,74,864.00"
1548,17/05/2017,"1,860.00","1,860.00","1,831.00","1,850.00",-0.11,103,"1,90,511.00"
1547,18/05/2017,"1,850.00","1,905.00","1,830.00","1,898.00",2.59,"1,020","19,11,872.00"
1546,21/05/2017,"1,870.00","1,874.00","1,867.00","1,873.00",-1.63,"1,172","26,02,029.00"
1545,22/05/2017,"1,850.00","1,850.00","1,825.00","1,850.00",-0.59,"1,276","23,42,584.00"
1544,23/05/2017,"1,878.00","1,900.00","1,875.00","1,880.00",1.62,"1,493","28,09,890.00"
1543,28/05/2017,"1,900.00","1,900.00","1,850.00","1,850.00",-1.33,578,"10,80,035.00"
1542,30/05/2017,"1,840.00","1,890.00","1,835.00","1,836.00",-0.76,858,"15,87,947.00"
1541,31/05/2017,"1,836.00","1,895.00","1,802.00","1,895.00",3.21,"2,244","40,93,368.00"
1540,01/06/2017,"1,905.00","1,905.00","1,850.00","1,870.00",-2.37,734,"13,74,760.00"
1539,04/06/2017,"1,820.00","1,850.00","1,814.00","1,850.00",0,"1,021","18,60,919.00"
1538,05/06/2017,"1,870.00","1,887.00","1,850.00","1,860.00",0.54,"1,234","23,06,242.00"
1537,06/06/2017,"1,860.00","1,905.00","1,860.00","1,900.00",2.15,"3,492","65,93,460.00"
1536,07/06/2017,"1,910.00","1,910.00","1,870.00","1,870.00",-1.58,"5,628","1,06,55,780.00"
1535,08/06/2017,"1,889.00","1,889.00","1,861.00","1,865.00",-0.32,646,"12,07,224.00"
1534,11/06/2017,"1,840.00","1,850.00","1,810.00","1,830.00",-1.82,703,"12,91,199.00"
1533,12/06/2017,"1,830.00","1,880.00","1,800.00","1,880.00",2.73,"2,284","42,18,402.00"
1532,13/06/2017,"1,880.00","1,880.00","1,816.00","1,875.00",-0.27,"1,839","34,33,278.00"
1531,14/06/2017,"1,875.00","1,875.00","1,838.00","1,860.00",-0.8,906,"16,76,961.00"
1530,15/06/2017,"1,860.00","1,932.00","1,850.00","1,899.00",2.15,"4,875","92,04,294.00"
1529,18/06/2017,"1,900.00","1,910.00","1,881.00","1,885.00",-0.79,"2,326","43,97,845.00"
1528,19/06/2017,"1,870.00","1,890.00","1,859.00","1,861.00",-1.27,"1,819","34,04,518.00"
1527,20/06/2017,"1,824.00","1,885.00","1,824.00","1,835.00",-1.4,"2,010","37,13,180.00"
1526,21/06/2017,"1,871.00","1,871.00","1,850.00","1,867.00",1.74,466,"8,65,370.00"
1525,22/06/2017,"1,880.00","1,890.00","1,870.00","1,870.00",0.16,"1,733","32,54,405.00"
1524,25/06/2017,"1,870.00","1,890.00","1,870.00","1,888.00",0.96,"1,184","22,24,983.00"
1523,27/06/2017,"1,861.00","1,885.00","1,860.00","1,867.00",-1.11,"2,076","38,74,670.00"
1522,28/06/2017,"1,842.00","1,870.00","1,842.00","1,866.00",-0.05,265,"4,94,348.00"
1521,02/07/2017,"1,840.00","1,863.00","1,840.00","1,863.00",-0.16,373,"6,89,305.00"
1520,03/07/2017,"1,890.00","1,890.00","1,855.00","1,855.00",-0.43,278,"5,19,690.00"
1519,04/07/2017,"1,855.00","1,855.00","1,840.00","1,842.00",-0.7,474,"8,76,574.00"
1518,05/07/2017,"1,830.00","1,900.00","1,830.00","1,900.00",3.15,"1,559","28,85,958.00"
1517,06/07/2017,"1,938.00","1,938.00","1,880.00","1,914.00",0.53,"2,667","50,89,137.00"
1516,09/07/2017,"1,910.00","1,955.00","1,813.00","1,880.00",-1.57,"3,978","75,88,414.00"
1515,10/07/2017,"1,852.00","1,900.00","1,852.00","1,870.00",-0.53,610,"11,51,471.00"
1514,11/07/2017,"1,880.00","1,893.00","1,880.00","1,880.00",0.53,402,"7,57,860.00"
1513,12/07/2017,"1,890.00","1,890.00","1,880.00","1,880.00",0,78,"1,47,090.00"
1512,13/07/2017,"1,880.00","1,885.00","1,860.00","1,861.00",-1.01,778,"14,56,503.00"
1511,16/07/2017,"1,890.00","1,890.00","1,862.00","1,875.00",0.75,"1,150","21,62,805.00"
1510,17/07/2017,"1,860.00","1,948.00","1,860.00","1,925.00",2.67,"2,257","43,10,239.00"
1509,20/07/2017,"1,890.00","1,909.00","1,890.00","1,909.00",-0.57,928,"17,59,003.00"
1508,23/07/2017,"1,910.00","1,915.00","1,900.00","1,905.00",-0.21,865,"16,49,387.00"
1507,24/07/2017,"1,885.00","1,891.00","1,850.00","1,880.00",-1.31,"1,058","19,95,494.00"
1506,25/07/2017,"1,880.00","1,919.00","1,880.00","1,914.00",1.81,"1,140","21,75,280.00"
1505,26/07/2017,"1,910.00","1,948.00","1,875.00","1,920.00",1.78,"1,972","37,61,769.00"
1504,27/07/2017,"1,950.00","2,040.00","1,945.00","2,015.00",3.44,"8,711","1,71,13,230.00"
1503,30/07/2017,"2,000.00","2,090.00","2,000.00","2,079.00",3.18,"5,661","1,16,64,589.00"
1502,31/07/2017,"2,081.00","2,120.00","2,060.00","2,090.00",0.53,"4,308","89,55,157.00"
1501,01/08/2017,"2,100.00","2,223.00","2,100.00","2,217.00",6.08,"6,436","1,38,95,357.00"
1500,02/08/2017,"2,225.00","2,225.00","2,155.00","2,209.00",-0.36,"4,231","91,98,689.00"
1499,03/08/2017,"2,209.00","2,240.00","2,140.00","2,179.00",-1.36,"3,868","84,45,450.00"
1498,06/08/2017,"2,151.00","2,151.00","2,111.00","2,126.00",-2.43,"2,220","47,25,114.00"
1497,07/08/2017,"2,168.00","2,168.00","2,100.00","2,115.00",0.09,934,"19,83,693.00"
1496,09/08/2017,"2,138.00","2,150.00","2,110.00","2,110.00",-0.85,"1,625","34,62,274.00"
1495,10/08/2017,"2,101.00","2,124.00","2,098.00","2,098.00",-0.57,"1,780","37,45,739.00"
1494,13/08/2017,"2,071.00","2,071.00","2,010.00","2,041.00",-2.76,"2,009","41,02,828.00"
1493,15/08/2017,"2,001.00","2,020.00","2,000.00","2,015.00",-1.22,"1,345","26,96,224.00"
1492,16/08/2017,"2,025.00","2,040.00","2,000.00","2,000.00",-0.74,905,"18,26,355.00"
1491,17/08/2017,"2,000.00","2,025.00","2,000.00","2,025.00",1.25,"1,031","20,74,930.00"
1490,20/08/2017,"2,000.00","2,014.00","1,960.00","1,999.00",-1.28,"1,619","32,22,709.00"
1489,21/08/2017,"1,965.00","1,995.00","1,950.00","1,967.00",-1.6,"1,177","23,23,595.00"
1488,22/08/2017,"1,942.00","2,000.00","1,942.00","1,985.00",0.71,"1,376","27,22,520.00"
1487,23/08/2017,"1,981.00","1,990.00","1,955.00","1,955.00",-1.31,"1,240","24,28,574.00"
1486,27/08/2017,"1,956.00","2,069.00","1,980.00","2,069.00",5.78,"1,758","35,73,047.00"
1485,28/08/2017,"2,110.00","2,124.00","2,040.00","2,100.00",1.5,"5,496","1,14,04,964.00"
1484,30/08/2017,"2,100.00","2,100.00","2,058.00","2,060.00",-1.9,"3,938","81,93,778.00"
1483,04/09/2017,"2,021.00","2,100.00","2,010.00","2,023.00",0.05,"4,139","84,43,214.00"
1482,06/09/2017,"2,062.00","2,100.00","2,030.00","2,061.00",1.93,"2,476","51,10,288.00"
1481,07/09/2017,"2,060.00","2,125.00","2,060.00","2,080.00",0.92,"3,821","79,52,023.00"
1480,10/09/2017,"2,080.00","2,080.00","2,007.00","2,008.00",-3.51,"1,794","36,48,156.00"
1479,11/09/2017,"1,990.00","2,056.00","1,990.00","2,040.00",1.64,"1,902","38,38,322.00"
1478,12/09/2017,"2,000.00","2,006.00","1,989.00","1,990.00",-2.45,707,"14,12,422.00"
1477,13/09/2017,"1,951.00","1,951.00","1,791.00","1,791.00",-10,180,"3,26,580.00"
1476,14/09/2017,"1,756.00","1,756.00","1,612.00","1,730.00",-3.41,"9,864","1,62,67,233.00"
1475,17/09/2017,"1,729.00","1,729.00","1,635.00","1,655.00",-4.34,"3,275","54,99,456.00"
1474,18/09/2017,"1,660.00","1,675.00","1,660.00","1,665.00",0.6,833,"13,84,810.00"
1473,20/09/2017,"1,680.00","1,680.00","1,635.00","1,650.00",-0.9,477,"7,91,890.00"
1472,24/09/2017,"1,625.00","1,650.00","1,625.00","1,650.00",0,542,"8,87,252.00"
1471,25/09/2017,"1,650.00","1,670.00","1,633.00","1,670.00",1.21,286,"4,72,671.00"
1470,26/09/2017,"1,700.00","1,700.00","1,666.00","1,680.00",1.44,83,"1,40,520.00"
1469,03/10/2017,"1,700.00","1,700.00","1,680.00","1,680.00",-0.83,210,"3,56,000.00"
1468,04/10/2017,"1,663.00","1,663.00","1,663.00","1,663.00",-1.01,80,"1,33,082.00"
1467,08/10/2017,"1,630.00","1,630.00","1,598.00","1,599.00",-3.91,597,"9,56,690.00"
1466,09/10/2017,"1,580.00","1,580.00","1,502.00","1,551.00",-2.94,"2,005","30,92,554.00"
1465,10/10/2017,"1,550.00","1,600.00","1,550.00","1,550.00",-0.06,898,"13,98,247.00"
1464,11/10/2017,"1,550.00","1,580.00","1,550.00","1,560.00",0.65,289,"4,50,500.00"
1463,15/10/2017,"1,591.00","1,591.00","1,560.00","1,560.00",1.99,182,"2,89,102.00"
1462,16/10/2017,"1,622.00","1,645.00","1,614.00","1,645.00",3.39,565,"9,26,975.00"
1461,18/10/2017,"1,625.00","1,650.00","1,615.00","1,645.00",1.85,521,"8,51,970.00"
1460,23/10/2017,"1,650.00","1,680.00","1,655.00","1,680.00",1.82,272,"4,55,436.00"
1459,24/10/2017,"1,680.00","1,700.00","1,680.00","1,680.00",0,548,"9,22,220.00"
1458,25/10/2017,"1,650.00","1,650.00","1,620.00","1,640.00",-2.08,751,"12,29,520.00"
1457,29/10/2017,"1,645.00","1,645.00","1,600.00","1,600.00",-2.74,503,"8,06,838.00"
1456,30/10/2017,"1,580.00","1,600.00","1,551.00","1,551.00",-3.06,"1,277","20,06,178.00"
1455,31/10/2017,"1,551.00","1,551.00","1,500.00","1,502.00",-3.16,"1,904","28,85,525.00"
1454,01/11/2017,"1,500.00","1,500.00","1,490.00","1,490.00",-0.8,"1,226","18,31,553.00"
1453,02/11/2017,"1,480.00","1,480.00","1,450.00","1,460.00",-2.01,519,"7,62,203.00"
1452,05/11/2017,"1,431.00","1,435.00","1,403.00","1,412.00",-3.29,"1,787","25,36,939.00"
1451,06/11/2017,"1,412.00","1,430.00","1,380.00","1,430.00",1.27,968,"13,68,882.00"
1450,07/11/2017,"1,416.00","1,416.00","1,415.00","1,415.00",-1.05,130,"1,84,078.00"
1449,08/11/2017,"1,400.00","1,400.00","1,345.00","1,350.00",-4.59,"4,868","66,33,732.00"
1448,09/11/2017,"1,323.00","1,323.00","1,323.00","1,323.00",-2,200,"2,64,600.00"
1447,12/11/2017,"1,227.00","1,224.00","1,185.00","1,224.00",-0.24,78,"93,744.00"
1446,13/11/2017,"1,225.00","1,315.00","1,220.00","1,315.00",7.43,"1,155","14,77,269.00"
1445,14/11/2017,"1,341.00","1,421.00","1,341.00","1,405.00",6.84,"3,369","46,55,933.00"
1444,15/11/2017,"1,410.00","1,410.00","1,355.00","1,355.00",-3.56,425,"5,91,100.00"
1443,16/11/2017,"1,328.00","1,328.00","1,308.00","1,320.00",-2.58,"1,345","17,66,920.00"
1442,19/11/2017,"1,320.00","1,320.00","1,270.00","1,280.00",-3.03,319,"4,10,060.00"
1441,20/11/2017,"1,299.00","1,326.00","1,299.00","1,326.00",3.59,333,"4,35,490.00"
1440,21/11/2017,"1,315.00","1,320.00","1,300.00","1,320.00",-0.45,270,"3,54,900.00"
1439,22/11/2017,"1,318.00","1,318.00","1,300.00","1,300.00",-1.52,578,"7,54,824.00"
1438,23/11/2017,"1,300.00","1,315.00","1,300.00","1,300.00",0,"3,798","49,55,971.00"
1437,26/11/2017,"1,300.00","1,378.00","1,320.00","1,378.00",6,"1,031","13,92,450.00"
1436,27/11/2017,"1,386.00","1,386.00","1,340.00","1,340.00",-2.76,"1,536","20,72,243.00"
1435,28/11/2017,"1,346.00","1,346.00","1,346.00","1,346.00",0.45,89,"1,19,794.00"
1434,29/11/2017,"1,370.00","1,400.00","1,350.00","1,351.00",0.3,"2,016","27,56,788.00"
1433,30/11/2017,"1,351.00","1,370.00","1,340.00","1,365.00",1.11,"1,734","23,56,538.00"
1432,04/12/2017,"1,350.00","1,350.00","1,350.00","1,350.00",-1.1,44,"59,400.00"
1431,05/12/2017,"1,323.00","1,340.00","1,301.00","1,319.00",-2.3,"1,289","16,94,514.00"
1430,06/12/2017,"1,340.00","1,395.00","1,340.00","1,370.00",3.87,"1,073","14,50,100.00"
1429,10/12/2017,"1,397.00","1,400.00","1,305.00","1,315.00",-4.67,"4,479","60,47,090.00"
1428,11/12/2017,"1,325.00","1,350.00","1,310.00","1,350.00",3.37,"4,454","58,88,146.00"
1427,12/12/2017,"1,335.00","1,338.00","1,325.00","1,338.00",-0.89,"1,419","18,89,720.00"
1426,13/12/2017,"1,340.00","1,340.00","1,340.00","1,340.00",0.15,150,"2,01,000.00"
1425,14/12/2017,"1,350.00","1,350.00","1,350.00","1,350.00",0.75,60,"1,56,040.00"
1424,17/12/2017,"1,340.00","1,340.00","1,321.00","1,339.00",-0.07,180,"2,38,964.00"
1423,18/12/2017,"1,350.00","1,350.00","1,325.00","1,325.00",-1.05,114,"1,52,300.00"
1422,19/12/2017,"1,305.00","1,307.00","1,300.00","1,300.00",-1.89,"2,209","28,76,374.00"
1421,20/12/2017,"1,300.00","1,300.00","1,300.00","1,300.00",0,431,"5,60,300.00"
1420,21/12/2017,"1,290.00","1,295.00","1,290.00","1,293.00",-0.54,182,"2,35,070.00"
1419,24/12/2017,"1,318.00","1,318.00","1,271.00","1,271.00",-1.7,"1,231","15,87,881.00"
1417,27/12/2017,"1,241.00","1,241.00","1,200.00","1,211.00",-2.81,849,"10,38,534.00"
1418,27/12/2017,"1,271.00","1,289.00","1,246.00","1,246.00",-1.97,"1,848","10,38,534.00"
1416,28/12/2017,"1,190.00","1,254.00","1,188.00","1,220.00",0.74,524,"6,44,398.00"
1415,31/12/2017,"1,196.00","1,230.00","1,195.00","1,218.00",-0.16,532,"6,46,896.00"
1414,01/01/2018,"1,220.00","1,303.00","1,215.00","1,274.00",4.6,742,"9,33,316.00"
1413,02/01/2018,"1,255.00","1,299.00","1,250.00","1,250.00",-1.88,567,"7,19,155.00"
1412,03/01/2018,"1,230.00","1,234.00","1,206.00","1,234.00",-1.28,"1,376","16,71,005.00"
1411,04/01/2018,"1,216.00","1,249.00","1,210.00","1,249.00",1.22,"2,721","33,06,549.00"
1410,07/01/2018,"1,250.00","1,285.00","1,248.00","1,285.00",2.88,698,"8,80,970.00"
1409,08/01/2018,"1,300.00","1,310.00","1,266.00","1,280.00",-0.39,"1,482","19,06,900.00"
1408,09/01/2018,"1,280.00","1,315.00","1,280.00","1,300.00",1.56,"1,349","17,60,273.00"
1407,10/01/2018,"1,275.00","1,295.00","1,271.00","1,295.00",-0.38,"1,243","15,91,455.00"
1406,14/01/2018,"1,285.00","1,285.00","1,268.00","1,270.00",-1.93,392,"4,99,600.00"
1405,16/01/2018,"1,270.00","1,270.00","1,270.00","1,270.00",0,28,"35,560.00"
1404,17/01/2018,"1,245.00","1,262.00","1,245.00","1,260.00",-0.79,991,"12,48,076.00"
1403,21/01/2018,"1,237.00","1,280.00","1,237.00","1,280.00",1.59,271,"3,43,670.00"
1402,22/01/2018,"1,261.00","1,261.00","1,260.00","1,261.00",-1.48,400,"5,04,200.00"
1401,23/01/2018,"1,261.00","1,261.00","1,245.00","1,245.00",-1.27,548,"6,86,874.00"
1400,24/01/2018,"1,240.00","1,254.00","1,235.00","1,245.00",0.72,862,"10,72,490.00"
1399,25/01/2018,"1,255.00","1,255.00","1,236.00","1,240.00",-1.44,544,"6,74,220.00"
1398,29/01/2018,"1,243.00","1,250.00","1,235.00","1,250.00",1.21,242,"3,00,835.00"
1397,31/01/2018,"1,230.00","1,236.00","1,230.00","1,236.00",-1.12,359,"4,42,345.00"
1396,01/02/2018,"1,230.00","1,260.00","1,230.00","1,251.00",1.94,302,"3,75,627.00"
1395,04/02/2018,"1,270.00","1,270.00","1,245.00","1,246.00",-1.19,550,"6,87,855.00"
1394,05/02/2018,"1,230.00","1,235.00","1,224.00","1,235.00",-0.88,617,"7,57,083.00"
1393,06/02/2018,"1,235.00","1,245.00","1,235.00","1,245.00",0.89,95,"1,17,729.00"
1392,07/02/2018,"1,250.00","1,250.00","1,226.00","1,228.00",-1.53,917,"11,30,033.00"
1391,08/02/2018,"1,231.00","1,245.00","1,231.00","1,245.00",1.55,50,"61,690.00"
1390,11/02/2018,"1,230.00","1,230.00","1,216.00","1,225.00",-1.61,314,"3,84,320.00"
1389,12/02/2018,"1,220.00","1,220.00","1,210.00","1,210.00",-1.22,"1,290","15,66,020.00"
1388,14/02/2018,"1,210.00","1,258.00","1,200.00","1,250.00",3.31,"1,039","12,75,123.00"
1387,15/02/2018,"1,250.00","1,311.00","1,245.00","1,311.00",4.88,"2,895","36,45,625.00"
1386,18/02/2018,"1,311.00","1,310.00","1,274.00","1,295.00",-1.22,"1,960","25,35,572.00"
1385,20/02/2018,"1,270.00","1,270.00","1,216.00","1,240.00",-4.25,695,"8,61,910.00"
1384,21/02/2018,"1,240.00","1,240.00","1,216.00","1,240.00",0,240,"2,95,240.00"
1383,22/02/2018,"1,240.00","1,240.00","1,217.00","1,217.00",-1.85,652,"7,97,169.00"
1382,25/02/2018,"1,200.00","1,220.00","1,200.00","1,220.00",0.25,404,"4,86,870.00"
